                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6993,                 4.5451,                  4.376,                 0.0078,                0.28125,                0.00636,                0.00181,                 3.3175,                 4.5275,                 4.1588,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 3.4673,                 4.3542,                 4.3386,                0.00793,                0.28125,                 0.0073,                0.00194,                  3.317,                 4.5281,                 4.1587,             4.1455e-05,             4.1455e-05,             4.1455e-05
                      3,                 3.4226,                 4.3219,                 4.3139,                  0.008,                0.28125,                0.00794,                0.00194,                 3.3165,                 4.5285,                 4.1586,             6.6734e-05,             6.6734e-05,             6.6734e-05
                      4,                 3.3537,                 4.2966,                 4.3058,                0.00852,                0.29688,                0.00862,                 0.0021,                 3.3159,                 4.5285,                 4.1584,             9.0127e-05,             9.0127e-05,             9.0127e-05
                      5,                 3.3732,                  4.299,                 4.2933,                0.00868,                0.29688,                0.00827,                0.00226,                 3.3154,                 4.5285,                 4.1582,             0.00011163,             0.00011163,             0.00011163
                      6,                 3.4031,                 4.2075,                 4.2632,                0.00876,                0.29688,                0.00946,                0.00223,                 3.3147,                 4.5274,                  4.158,             0.00013125,             0.00013125,             0.00013125
                      7,                 3.4799,                 4.2448,                 4.2735,                0.00861,                0.29688,                0.00847,                0.00244,                  3.314,                 4.5263,                 4.1576,             0.00014899,             0.00014899,             0.00014899
                      8,                 3.5175,                 4.1878,                 4.2419,                0.00814,                0.28125,                 0.0077,                0.00217,                 3.3133,                 4.5251,                 4.1573,             0.00016484,             0.00016484,             0.00016484
                      9,                  3.526,                 4.2192,                 4.2101,                0.00845,                0.29688,                0.00861,                0.00247,                  3.313,                 4.5243,                 4.1571,              0.0001788,              0.0001788,              0.0001788
                     10,                  3.416,                 4.1316,                 4.1975,                0.00782,                0.26562,                0.00762,                0.00218,                 3.3124,                  4.523,                  4.157,             0.00019087,             0.00019087,             0.00019087
                     11,                 3.4592,                 4.2797,                 4.1899,                0.00886,                0.29688,                0.00883,                0.00233,                 3.3117,                 4.5221,                 4.1567,             0.00020106,             0.00020106,             0.00020106
                     12,                 3.4135,                  4.158,                 4.1979,                0.00833,                0.28125,                0.00793,                0.00219,                 3.3108,                 4.5212,                 4.1563,             0.00020936,             0.00020936,             0.00020936
                     13,                 3.4232,                 4.0817,                  4.194,                0.00865,                0.29688,                0.00795,                0.00232,                 3.3102,                 4.5191,                 4.1558,             0.00021578,             0.00021578,             0.00021578
                     14,                 3.4133,                 4.0452,                 4.1662,                0.00914,                 0.3125,                0.00906,                0.00235,                 3.3088,                 4.5176,                 4.1551,             0.00022031,             0.00022031,             0.00022031
                     15,                 3.3887,                 4.0874,                 4.1665,                0.00901,                 0.3125,                0.00857,                0.00226,                 3.3074,                 4.5164,                 4.1544,             0.00022295,             0.00022295,             0.00022295
                     16,                 3.2501,                  4.078,                 4.1554,                0.00901,                 0.3125,                0.00937,                0.00243,                 3.3057,                 4.5151,                 4.1535,             0.00022371,             0.00022371,             0.00022371
                     17,                 3.5383,                  4.062,                 4.1525,                0.00879,                 0.3125,                 0.0092,                0.00226,                  3.304,                 4.5136,                 4.1526,             0.00022258,             0.00022258,             0.00022258
                     18,                 3.4253,                 3.8954,                 4.1261,                0.00823,                0.29688,                0.00831,                0.00218,                  3.302,                 4.5115,                 4.1514,             0.00021957,             0.00021957,             0.00021957
                     19,                 3.4824,                 4.0144,                 4.1425,                0.00821,                0.29688,                0.00892,                0.00227,                 3.2996,                 4.5097,                   4.15,             0.00021466,             0.00021466,             0.00021466
                     20,                  3.546,                 3.8904,                  4.119,                0.00816,                0.29688,                0.00827,                0.00213,                 3.2975,                 4.5078,                 4.1485,             0.00020788,             0.00020788,             0.00020788
                     21,                 3.3247,                  4.402,                 4.1002,                0.00751,                0.28125,                0.00718,                0.00208,                  3.296,                 4.5045,                 4.1469,              0.0001992,              0.0001992,              0.0001992
                     22,                 3.3178,                 4.3732,                 4.0998,                0.00752,                0.28125,                0.00711,                0.00205,                 3.2948,                 4.5011,                 4.1453,             0.00018864,             0.00018864,             0.00018864
                     23,                 3.2912,                 4.2501,                 4.0895,                0.00746,                0.28125,                 0.0071,                0.00198,                 3.2944,                 4.4968,                 4.1437,              0.0001762,              0.0001762,              0.0001762
                     24,                 3.0801,                 4.2681,                 4.1004,                 0.0075,                0.28125,                0.00701,                 0.0019,                 3.2931,                 4.4919,                 4.1425,             0.00016186,             0.00016186,             0.00016186
                     25,                 3.1973,                  4.085,                  4.078,                 0.0076,                0.28125,                0.00703,                0.00202,                 3.2922,                 4.4878,                 4.1409,             0.00014564,             0.00014564,             0.00014564
                     26,                 3.1246,                 4.1454,                 4.0701,                0.00759,                0.28125,                 0.0076,                0.00209,                 3.2899,                  4.484,                 4.1399,             0.00012754,             0.00012754,             0.00012754
                     27,                  3.202,                  4.142,                 4.0829,                0.00778,                0.28125,                0.00763,                0.00207,                 3.2893,                 4.4794,                 4.1388,             0.00010755,             0.00010755,             0.00010755
                     28,                 3.2592,                 4.0379,                 4.0618,                0.00778,                0.28125,                0.00763,                0.00207,                 3.2893,                 4.4794,                 4.1388,             8.5669e-05,             8.5669e-05,             8.5669e-05
                     29,                 3.1036,                 3.9899,                 4.0626,                0.00778,                0.28125,                0.00765,                0.00208,                 3.2893,                 4.4743,                  4.138,             6.1904e-05,             6.1904e-05,             6.1904e-05
                     30,                 3.0869,                 4.0335,                 4.0777,                0.00778,                0.28125,                0.00783,                0.00211,                 3.2889,                 4.4701,                 4.1376,             3.6254e-05,             3.6254e-05,             3.6254e-05
